date,day,dayType,dtDesc
1440374400,Mon,7,First day of week - school holiday
1440460800,Tues,9,Middle of week - school holiday
1440547200,Wed,9,Middle of week - school holiday
1440633600,Thurs,9,Middle of week - school holiday
144072e4,Fri,11,Last day of week - school holiday
1440806400,Sat,5,Saturday
1440892800,Sun,6,Sunday
1440979200,Mon,7,First day of week - school holiday
1441065600,Tues,1,Normal working Tuesday
1441152e3,Wed,2,Normal working Wednesday
1441238400,Thurs,3,Normal working Thursday
1441324800,Fri,4,Last working day of normal week
1441411200,Sat,5,Saturday
1441497600,Sun,6,Sunday
1441584e3,Mon,0,First working day of normal week
1441670400,Tues,1,Normal working Tuesday
1441756800,Wed,2,Normal working Wednesday
1441843200,Thurs,3,Normal working Thursday
1441929600,Fri,4,Last working day of normal week
1442016e3,Sat,5,Saturday
1442102400,Sun,6,Sunday
1442188800,Mon,0,First working day of normal week
1442275200,Tues,1,Normal working Tuesday
1442361600,Wed,2,Normal working Wednesday
1442448e3,Thurs,3,Normal working Thursday
1442534400,Fri,4,Last working day of normal week
1442620800,Sat,5,Saturday
1442707200,Sun,6,Sunday
1442793600,Mon,0,First working day of normal week
144288e4,Tues,1,Normal working Tuesday
1442966400,Wed,2,Normal working Wednesday
1443052800,Thurs,3,Normal working Thursday
1443139200,Fri,4,Last working day of normal week
1443225600,Sat,5,Saturday
1443312e3,Sun,6,Sunday
1443398400,Mon,0,First working day of normal week
1443484800,Tues,1,Normal working Tuesday
1443571200,Wed,2,Normal working Wednesday
1443657600,Thurs,3,Normal working Thursday
1443744e3,Fri,4,Last working day of normal week
1443830400,Sat,5,Saturday
1443916800,Sun,6,Sunday
1444003200,Mon,0,First working day of normal week
1444089600,Tues,1,Normal working Tuesday
1444176e3,Wed,2,Normal working Wednesday
1444262400,Thurs,3,Normal working Thursday
1444348800,Fri,4,Last working day of normal week
1444435200,Sat,5,Saturday
1444521600,Sun,6,Sunday
1444608e3,Mon,0,First working day of normal week
1444694400,Tues,1,Normal working Tuesday
1444780800,Wed,2,Normal working Wednesday
1444867200,Thurs,3,Normal working Thursday
1444953600,Fri,4,Last working day of normal week
144504e4,Sat,5,Saturday
1445126400,Sun,6,Sunday
1445212800,Mon,0,First working day of normal week
1445299200,Tues,1,Normal working Tuesday
1445385600,Wed,2,Normal working Wednesday
1445472e3,Thurs,3,Normal working Thursday
1445558400,Fri,4,Last working day of normal week
1445644800,Sat,5,Saturday
1445731200,Sun,6,Sunday
1445817600,Mon,12,Bank Holidays including Good Friday
1445904e3,Tues,0,First working day of normal week
1445990400,Wed,9,Middle of week - school holiday
1446076800,Thurs,9,Middle of week - school holiday
1446163200,Fri,11,Last day of week - school holiday
1446249600,Sat,5,Saturday
1446336e3,Sun,6,Sunday
1446422400,Mon,0,First working day of normal week
1446508800,Tues,1,Normal working Tuesday
1446595200,Wed,2,Normal working Wednesday
1446681600,Thurs,3,Normal working Thursday
1446768e3,Fri,4,Last working day of normal week
1446854400,Sat,5,Saturday
1446940800,Sun,6,Sunday
1447027200,Mon,0,First working day of normal week
1447113600,Tues,1,Normal working Tuesday
14472e5,Wed,2,Normal working Wednesday
1447286400,Thurs,3,Normal working Thursday
1447372800,Fri,4,Last working day of normal week
1447459200,Sat,5,Saturday
1447545600,Sun,6,Sunday
1447632e3,Mon,0,First working day of normal week
1447718400,Tues,1,Normal working Tuesday
1447804800,Wed,2,Normal working Wednesday
1447891200,Thurs,3,Normal working Thursday
1447977600,Fri,4,Last working day of normal week
1448064e3,Sat,5,Saturday
1448150400,Sun,6,Sunday
1448236800,Mon,0,First working day of normal week
1448323200,Tues,1,Normal working Tuesday
1448409600,Wed,2,Normal working Wednesday
1448496e3,Thurs,3,Normal working Thursday
1448582400,Fri,4,Last working day of normal week
1448668800,Sat,5,Saturday
1448755200,Sun,6,Sunday
1448841600,Mon,0,First working day of normal week
1448928e3,Tues,1,Normal working Tuesday
1449014400,Wed,2,Normal working Wednesday
1449100800,Thurs,3,Normal working Thursday
1449187200,Fri,4,Last working day of normal week
1449273600,Sat,5,Saturday
144936e4,Sun,6,Sunday
1449446400,Mon,0,First working day of normal week
1449532800,Tues,1,Normal working Tuesday
1449619200,Wed,2,Normal working Wednesday
1449705600,Thurs,3,Normal working Thursday
1449792e3,Fri,4,Last working day of normal week
1449878400,Sat,5,Saturday
1449964800,Sun,6,Sunday
1450051200,Mon,0,First working day of normal week
1450137600,Tues,1,Normal working Tuesday
1450224e3,Wed,2,Normal working Wednesday
1450310400,Thurs,3,Normal working Thursday
1450396800,Fri,4,Last working day of normal week
1450483200,Sat,5,Saturday
1450569600,Sun,6,Sunday
1450656e3,Mon,0,First working day of normal week
1450742400,Tues,1,Normal working Tuesday
1450828800,Wed,9,Middle of week - school holiday
1450915200,Thurs,9,Middle of week - school holiday
1451001600,Fri,14,Christmas Day / New Years Day
1451088e3,Sat,13,Christmas period holidays
1451174400,Sun,13,Christmas period holidays
1451260800,Mon,13,Christmas period holidays
1451347200,Tues,13,Christmas period holidays
1451433600,Wed,13,Christmas period holidays
145152e4,Thurs,13,Christmas period holidays
1451606400,Fri,14,Christmas Day / New Years Day
1451692800,Sat,5,Saturday
1451779200,Sun,6,Sunday
1451865600,Mon,7,First day of week - school holiday
1451952e3,Tues,9,Middle of week - school holiday
1452038400,Wed,2,Normal working Wednesday
1452124800,Thurs,3,Normal working Thursday
1452211200,Fri,4,Last working day of normal week
1452297600,Sat,5,Saturday
1452384e3,Sun,6,Sunday
1452470400,Mon,0,First working day of normal week
1452556800,Tues,1,Normal working Tuesday
1452643200,Wed,2,Normal working Wednesday
1452729600,Thurs,3,Normal working Thursday
1452816e3,Fri,4,Last working day of normal week
1452902400,Sat,5,Saturday
1452988800,Sun,6,Sunday
1453075200,Mon,0,First working day of normal week
1453161600,Tues,1,Normal working Tuesday
1453248e3,Wed,2,Normal working Wednesday
1453334400,Thurs,3,Normal working Thursday
1453420800,Fri,4,Last working day of normal week
1453507200,Sat,5,Saturday
1453593600,Sun,6,Sunday
145368e4,Mon,0,First working day of normal week
1453766400,Tues,1,Normal working Tuesday
1453852800,Wed,2,Normal working Wednesday
1453939200,Thurs,3,Normal working Thursday
1454025600,Fri,4,Last working day of normal week
1454112e3,Sat,5,Saturday
1454198400,Sun,6,Sunday
1454284800,Mon,0,First working day of normal week
1454371200,Tues,1,Normal working Tuesday
1454457600,Wed,2,Normal working Wednesday
1454544e3,Thurs,3,Normal working Thursday
1454630400,Fri,4,Last working day of normal week
1454716800,Sat,5,Saturday
1454803200,Sun,6,Sunday
1454889600,Mon,0,First working day of normal week
1454976e3,Tues,1,Normal working Tuesday
1455062400,Wed,2,Normal working Wednesday
1455148800,Thurs,3,Normal working Thursday
1455235200,Fri,4,Last working day of normal week
1455321600,Sat,5,Saturday
1455408e3,Sun,6,Sunday
1455494400,Mon,7,First day of week - school holiday
1455580800,Tues,9,Middle of week - school holiday
1455667200,Wed,9,Middle of week - school holiday
1455753600,Thurs,9,Middle of week - school holiday
145584e4,Fri,11,Last day of week - school holiday
1455926400,Sat,5,Saturday
1456012800,Sun,6,Sunday
1456099200,Mon,0,First working day of normal week
1456185600,Tues,1,Normal working Tuesday
1456272e3,Wed,2,Normal working Wednesday
1456358400,Thurs,3,Normal working Thursday
1456444800,Fri,4,Last working day of normal week
1456531200,Sat,5,Saturday
1456617600,Sun,6,Sunday
1456704e3,Mon,0,First working day of normal week
1456790400,Tues,1,Normal working Tuesday
1456876800,Wed,2,Normal working Wednesday
1456963200,Thurs,3,Normal working Thursday
1457049600,Fri,4,Last working day of normal week
1457136e3,Sat,5,Saturday
1457222400,Sun,6,Sunday
1457308800,Mon,0,First working day of normal week
1457395200,Tues,1,Normal working Tuesday
1457481600,Wed,2,Normal working Wednesday
1457568e3,Thurs,3,Normal working Thursday
1457654400,Fri,4,Last working day of normal week
1457740800,Sat,5,Saturday
1457827200,Sun,6,Sunday
1457913600,Mon,0,First working day of normal week
1458e6,Tues,1,Normal working Tuesday
1458086400,Wed,4,Last working day of normal week
1458172800,Thurs,12,Bank Holidays including Good Friday
1458259200,Fri,11,Last day of week - school holiday
1458345600,Sat,5,Saturday
1458432e3,Sun,6,Sunday
1458518400,Mon,7,First day of week - school holiday
1458604800,Tues,9,Middle of week - school holiday
1458691200,Wed,9,Middle of week - school holiday
1458777600,Thurs,9,Middle of week - school holiday
1458864e3,Fri,12,Bank Holidays including Good Friday
1458950400,Sat,5,Saturday
1459036800,Sun,6,Sunday
1459123200,Mon,12,Bank Holidays including Good Friday
1459209600,Tues,0,First working day of normal week
1459296e3,Wed,9,Middle of week - school holiday
1459382400,Thurs,9,Middle of week - school holiday
1459468800,Fri,11,Last day of week - school holiday
1459555200,Sat,5,Saturday
1459641600,Sun,6,Sunday
1459728e3,Mon,0,First working day of normal week
1459814400,Tues,1,Normal working Tuesday
1459900800,Wed,2,Normal working Wednesday
1459987200,Thurs,3,Normal working Thursday
1460073600,Fri,4,Last working day of normal week
146016e4,Sat,5,Saturday
1460246400,Sun,6,Sunday
1460332800,Mon,0,First working day of normal week
1460419200,Tues,1,Normal working Tuesday
1460505600,Wed,2,Normal working Wednesday
1460592e3,Thurs,3,Normal working Thursday
1460678400,Fri,4,Last working day of normal week
1460764800,Sat,5,Saturday
1460851200,Sun,6,Sunday
1460937600,Mon,0,First working day of normal week
1461024e3,Tues,1,Normal working Tuesday
1461110400,Wed,2,Normal working Wednesday
1461196800,Thurs,3,Normal working Thursday
1461283200,Fri,4,Last working day of normal week
1461369600,Sat,5,Saturday
1461456e3,Sun,6,Sunday
1461542400,Mon,0,First working day of normal week
1461628800,Tues,1,Normal working Tuesday
1461715200,Wed,2,Normal working Wednesday
1461801600,Thurs,3,Normal working Thursday
1461888e3,Fri,4,Last working day of normal week
1461974400,Sat,5,Saturday
1462060800,Sun,6,Sunday
1462147200,Mon,12,Bank Holidays including Good Friday
1462233600,Tues,0,First working day of normal week
146232e4,Wed,2,Normal working Wednesday
1462406400,Thurs,3,Normal working Thursday
1462492800,Fri,4,Last working day of normal week
1462579200,Sat,5,Saturday
1462665600,Sun,6,Sunday
1462752e3,Mon,0,First working day of normal week
1462838400,Tues,1,Normal working Tuesday
1462924800,Wed,2,Normal working Wednesday
1463011200,Thurs,3,Normal working Thursday
1463097600,Fri,4,Last working day of normal week
1463184e3,Sat,5,Saturday
1463270400,Sun,6,Sunday
1463356800,Mon,0,First working day of normal week
1463443200,Tues,1,Normal working Tuesday
1463529600,Wed,2,Normal working Wednesday
1463616e3,Thurs,3,Normal working Thursday
1463702400,Fri,4,Last working day of normal week
1463788800,Sat,5,Saturday
1463875200,Sun,6,Sunday
1463961600,Mon,0,First working day of normal week
1464048e3,Tues,1,Normal working Tuesday
1464134400,Wed,2,Normal working Wednesday
1464220800,Thurs,3,Normal working Thursday
1464307200,Fri,4,Last working day of normal week
1464393600,Sat,5,Saturday
146448e4,Sun,6,Sunday
1464566400,Mon,0,First working day of normal week
1464652800,Tues,1,Normal working Tuesday
1464739200,Wed,2,Normal working Wednesday
1464825600,Thurs,3,Normal working Thursday
1464912e3,Fri,4,Last working day of normal week
1464998400,Sat,5,Saturday
1465084800,Sun,6,Sunday
1465171200,Mon,12,Bank Holidays including Good Friday
1465257600,Tues,0,First working day of normal week
1465344e3,Wed,2,Normal working Wednesday
1465430400,Thurs,3,Normal working Thursday
1465516800,Fri,4,Last working day of normal week
1465603200,Sat,5,Saturday
1465689600,Sun,6,Sunday
1465776e3,Mon,0,First working day of normal week
1465862400,Tues,1,Normal working Tuesday
1465948800,Wed,2,Normal working Wednesday
1466035200,Thurs,3,Normal working Thursday
1466121600,Fri,4,Last working day of normal week
1466208e3,Sat,5,Saturday
1466294400,Sun,6,Sunday
1466380800,Mon,0,First working day of normal week
1466467200,Tues,1,Normal working Tuesday
1466553600,Wed,2,Normal working Wednesday
146664e4,Thurs,3,Normal working Thursday
1466726400,Fri,4,Last working day of normal week
1466812800,Sat,5,Saturday
1466899200,Sun,6,Sunday
1466985600,Mon,0,First working day of normal week
1467072e3,Tues,1,Normal working Tuesday
1467158400,Wed,2,Normal working Wednesday
1467244800,Thurs,3,Normal working Thursday
1467331200,Fri,11,Last day of week - school holiday
1467417600,Sat,5,Saturday
1467504e3,Sun,6,Sunday
1467590400,Mon,7,First day of week - school holiday
1467676800,Tues,9,Middle of week - school holiday
1467763200,Wed,9,Middle of week - school holiday
1467849600,Thurs,9,Middle of week - school holiday
1467936e3,Fri,11,Last day of week - school holiday
1468022400,Sat,5,Saturday
1468108800,Sun,6,Sunday
1468195200,Mon,7,First day of week - school holiday
1468281600,Tues,9,Middle of week - school holiday
1468368e3,Wed,9,Middle of week - school holiday
1468454400,Thurs,9,Middle of week - school holiday
1468540800,Fri,11,Last day of week - school holiday
1468627200,Sat,5,Saturday
1468713600,Sun,6,Sunday
14688e5,Mon,7,First day of week - school holiday
1468886400,Tues,9,Middle of week - school holiday
1468972800,Wed,9,Middle of week - school holiday
1469059200,Thurs,9,Middle of week - school holiday
1469145600,Fri,11,Last day of week - school holiday
1469232e3,Sat,5,Saturday
1469318400,Sun,6,Sunday
1469404800,Mon,7,First day of week - school holiday
1469491200,Tues,9,Middle of week - school holiday
1469577600,Wed,9,Middle of week - school holiday
1469664e3,Thurs,9,Middle of week - school holiday
1469750400,Fri,11,Last day of week - school holiday
1469836800,Sat,5,Saturday
1469923200,Sun,6,Sunday
1470009600,Mon,12,Bank Holidays including Good Friday
1470096e3,Tues,0,First working day of normal week
1470182400,Wed,9,Middle of week - school holiday
1470268800,Thurs,9,Middle of week - school holiday
1470355200,Fri,11,Last day of week - school holiday
1470441600,Sat,5,Saturday
1470528e3,Sun,6,Sunday
1470614400,Mon,7,First day of week - school holiday
1470700800,Tues,9,Middle of week - school holiday
1470787200,Wed,9,Middle of week - school holiday
1470873600,Thurs,9,Middle of week - school holiday
147096e4,Fri,11,Last day of week - school holiday
1471046400,Sat,5,Saturday
1471132800,Sun,6,Sunday
1471219200,Mon,7,First day of week - school holiday
1471305600,Tues,9,Middle of week - school holiday
1471392e3,Wed,9,Middle of week - school holiday
1471478400,Thurs,9,Middle of week - school holiday
1471564800,Fri,11,Last day of week - school holiday
1471651200,Sat,5,Saturday
1471737600,Sun,6,Sunday
1471824e3,Mon,7,First day of week - school holiday
1471910400,Tues,9,Middle of week - school holiday
1471996800,Wed,9,Middle of week - school holiday
1472083200,Thurs,9,Middle of week - school holiday
1472169600,Fri,11,Last day of week - school holiday
1472256e3,Sat,5,Saturday
1472342400,Sun,6,Sunday
1472428800,Mon,7,First day of week - school holiday
1472515200,Tues,9,Middle of week - school holiday
1472601600,Wed,9,Middle of week - school holiday
1472688e3,Thurs,3,Normal working Thursday
1472774400,Fri,4,Last working day of normal week
1472860800,Sat,5,Saturday
1472947200,Sun,6,Sunday
1473033600,Mon,0,First working day of normal week
147312e4,Tues,1,Normal working Tuesday
1473206400,Wed,2,Normal working Wednesday
1473292800,Thurs,3,Normal working Thursday
1473379200,Fri,4,Last working day of normal week
1473465600,Sat,5,Saturday
1473552e3,Sun,6,Sunday
1473638400,Mon,0,First working day of normal week
1473724800,Tues,1,Normal working Tuesday
1473811200,Wed,2,Normal working Wednesday
1473897600,Thurs,3,Normal working Thursday
1473984e3,Fri,4,Last working day of normal week
1474070400,Sat,5,Saturday
1474156800,Sun,6,Sunday
1474243200,Mon,0,First working day of normal week
1474329600,Tues,1,Normal working Tuesday
1474416e3,Wed,2,Normal working Wednesday
1474502400,Thurs,3,Normal working Thursday
1474588800,Fri,4,Last working day of normal week
1474675200,Sat,5,Saturday
1474761600,Sun,6,Sunday
1474848e3,Mon,0,First working day of normal week
1474934400,Tues,1,Normal working Tuesday
1475020800,Wed,2,Normal working Wednesday
1475107200,Thurs,3,Normal working Thursday
1475193600,Fri,4,Last working day of normal week
147528e4,Sat,5,Saturday
1475366400,Sun,6,Sunday
1475452800,Mon,0,First working day of normal week
1475539200,Tues,1,Normal working Tuesday
1475625600,Wed,2,Normal working Wednesday
1475712e3,Thurs,3,Normal working Thursday
1475798400,Fri,4,Last working day of normal week
1475884800,Sat,5,Saturday
1475971200,Sun,6,Sunday
1476057600,Mon,0,First working day of normal week
1476144e3,Tues,1,Normal working Tuesday
1476230400,Wed,2,Normal working Wednesday
1476316800,Thurs,3,Normal working Thursday
1476403200,Fri,4,Last working day of normal week
1476489600,Sat,5,Saturday
1476576e3,Sun,6,Sunday
1476662400,Mon,0,First working day of normal week
1476748800,Tues,1,Normal working Tuesday
1476835200,Wed,2,Normal working Wednesday
1476921600,Thurs,3,Normal working Thursday
1477008e3,Fri,4,Last working day of normal week
1477094400,Sat,5,Saturday
1477180800,Sun,6,Sunday
1477267200,Mon,0,First working day of normal week
1477353600,Tues,1,Normal working Tuesday
147744e4,Wed,2,Normal working Wednesday
1477526400,Thurs,3,Normal working Thursday
1477612800,Fri,4,Last working day of normal week
1477699200,Sat,5,Saturday
1477785600,Sun,6,Sunday
1477872e3,Mon,12,Bank Holidays including Good Friday
1477958400,Tues,0,First working day of normal week
1478044800,Wed,9,Middle of week - school holiday
1478131200,Thurs,9,Middle of week - school holiday
1478217600,Fri,11,Last day of week - school holiday
1478304e3,Sat,5,Saturday
1478390400,Sun,6,Sunday
1478476800,Mon,0,First working day of normal week
1478563200,Tues,1,Normal working Tuesday
1478649600,Wed,2,Normal working Wednesday
1478736e3,Thurs,3,Normal working Thursday
1478822400,Fri,4,Last working day of normal week
1478908800,Sat,5,Saturday
1478995200,Sun,6,Sunday
1479081600,Mon,0,First working day of normal week
1479168e3,Tues,1,Normal working Tuesday
1479254400,Wed,2,Normal working Wednesday
1479340800,Thurs,3,Normal working Thursday
1479427200,Fri,4,Last working day of normal week
1479513600,Sat,5,Saturday
14796e5,Sun,6,Sunday
1479686400,Mon,0,First working day of normal week
1479772800,Tues,1,Normal working Tuesday
1479859200,Wed,2,Normal working Wednesday
1479945600,Thurs,3,Normal working Thursday
1480032e3,Fri,4,Last working day of normal week
1480118400,Sat,5,Saturday
1480204800,Sun,6,Sunday
1480291200,Mon,0,First working day of normal week
1480377600,Tues,1,Normal working Tuesday
1480464e3,Wed,2,Normal working Wednesday
1480550400,Thurs,3,Normal working Thursday
1480636800,Fri,4,Last working day of normal week
1480723200,Sat,5,Saturday
1480809600,Sun,6,Sunday
1480896e3,Mon,0,First working day of normal week
1480982400,Tues,1,Normal working Tuesday
1481068800,Wed,2,Normal working Wednesday
1481155200,Thurs,3,Normal working Thursday
1481241600,Fri,4,Last working day of normal week
1481328e3,Sat,5,Saturday
1481414400,Sun,6,Sunday
1481500800,Mon,0,First working day of normal week
1481587200,Tues,1,Normal working Tuesday
1481673600,Wed,2,Normal working Wednesday
148176e4,Thurs,3,Normal working Thursday
1481846400,Fri,4,Last working day of normal week
1481932800,Sat,5,Saturday
1482019200,Sun,6,Sunday
1482105600,Mon,0,First working day of normal week
1482192e3,Tues,1,Normal working Tuesday
1482278400,Wed,2,Normal working Wednesday
1482364800,Thurs,3,Normal working Thursday
1482451200,Fri,11,Last day of week - school holiday
1482537600,Sat,5,Saturday
1482624e3,Sun,14,Christmas Day / New Years Day
1482710400,Mon,13,Christmas period holidays
1482796800,Tues,13,Christmas period holidays
1482883200,Wed,13,Christmas period holidays
1482969600,Thurs,13,Christmas period holidays
1483056e3,Fri,13,Christmas period holidays
1483142400,Sat,13,Christmas period holidays
1483228800,Sun,14,Christmas Day / New Years Day
1483315200,Mon,7,First day of week - school holiday
1483401600,Tues,9,Middle of week - school holiday
1483488e3,Wed,9,Middle of week - school holiday
1483574400,Thurs,9,Middle of week - school holiday
1483660800,Fri,11,Last day of week - school holiday
1483747200,Sat,5,Saturday
1483833600,Sun,6,Sunday
148392e4,Mon,0,First working day of normal week
1484006400,Tues,1,Normal working Tuesday
1484092800,Wed,2,Normal working Wednesday
1484179200,Thurs,3,Normal working Thursday
1484265600,Fri,4,Last working day of normal week
1484352e3,Sat,5,Saturday
1484438400,Sun,6,Sunday
1484524800,Mon,0,First working day of normal week
1484611200,Tues,1,Normal working Tuesday
1484697600,Wed,2,Normal working Wednesday
1484784e3,Thurs,3,Normal working Thursday
1484870400,Fri,4,Last working day of normal week
1484956800,Sat,5,Saturday
1485043200,Sun,6,Sunday
1485129600,Mon,0,First working day of normal week
1485216e3,Tues,1,Normal working Tuesday
1485302400,Wed,2,Normal working Wednesday
1485388800,Thurs,3,Normal working Thursday
1485475200,Fri,4,Last working day of normal week
1485561600,Sat,5,Saturday
1485648e3,Sun,6,Sunday
1485734400,Mon,0,First working day of normal week
1485820800,Tues,1,Normal working Tuesday
1485907200,Wed,2,Normal working Wednesday
1485993600,Thurs,3,Normal working Thursday
148608e4,Fri,4,Last working day of normal week
1486166400,Sat,5,Saturday
1486252800,Sun,6,Sunday
1486339200,Mon,0,First working day of normal week
1486425600,Tues,1,Normal working Tuesday
1486512e3,Wed,2,Normal working Wednesday
1486598400,Thurs,3,Normal working Thursday
1486684800,Fri,4,Last working day of normal week
1486771200,Sat,5,Saturday
1486857600,Sun,6,Sunday
1486944e3,Mon,0,First working day of normal week
1487030400,Tues,1,Normal working Tuesday
1487116800,Wed,2,Normal working Wednesday
1487203200,Thurs,3,Normal working Thursday
1487289600,Fri,4,Last working day of normal week
1487376e3,Sat,5,Saturday
1487462400,Sun,6,Sunday
1487548800,Mon,7,First day of week - school holiday
1487635200,Tues,9,Middle of week - school holiday
1487721600,Wed,9,Middle of week - school holiday
1487808e3,Thurs,9,Middle of week - school holiday
1487894400,Fri,11,Last day of week - school holiday
1487980800,Sat,5,Saturday
1488067200,Sun,6,Sunday
1488153600,Mon,0,First working day of normal week
148824e4,Tues,1,Normal working Tuesday
1488326400,Wed,2,Normal working Wednesday
1488412800,Thurs,3,Normal working Thursday
1488499200,Fri,4,Last working day of normal week
1488585600,Sat,5,Saturday
1488672e3,Sun,6,Sunday
1488758400,Mon,0,First working day of normal week
1488844800,Tues,1,Normal working Tuesday
1488931200,Wed,2,Normal working Wednesday
1489017600,Thurs,3,Normal working Thursday
1489104e3,Fri,4,Last working day of normal week
1489190400,Sat,5,Saturday
1489276800,Sun,6,Sunday
1489363200,Mon,0,First working day of normal week
1489449600,Tues,1,Normal working Tuesday
1489536e3,Wed,2,Normal working Wednesday
1489622400,Thurs,4,Last working day of normal week
1489708800,Fri,12,Bank Holidays including Good Friday
1489795200,Sat,5,Saturday
1489881600,Sun,6,Sunday
1489968e3,Mon,0,First working day of normal week
1490054400,Tues,1,Normal working Tuesday
1490140800,Wed,2,Normal working Wednesday
1490227200,Thurs,3,Normal working Thursday
1490313600,Fri,4,Last working day of normal week
14904e5,Sat,5,Saturday
1490486400,Sun,6,Sunday
1490572800,Mon,0,First working day of normal week
1490659200,Tues,1,Normal working Tuesday
1490745600,Wed,2,Normal working Wednesday
1490832e3,Thurs,3,Normal working Thursday
1490918400,Fri,4,Last working day of normal week
1491004800,Sat,5,Saturday
1491091200,Sun,6,Sunday
1491177600,Mon,0,First working day of normal week
1491264e3,Tues,1,Normal working Tuesday
1491350400,Wed,2,Normal working Wednesday
1491436800,Thurs,3,Normal working Thursday
1491523200,Fri,4,Last working day of normal week
1491609600,Sat,5,Saturday
1491696e3,Sun,6,Sunday
1491782400,Mon,7,First day of week - school holiday
1491868800,Tues,9,Middle of week - school holiday
1491955200,Wed,9,Middle of week - school holiday
1492041600,Thurs,9,Middle of week - school holiday
1492128e3,Fri,12,Bank Holidays including Good Friday
1492214400,Sat,5,Saturday
1492300800,Sun,6,Sunday
1492387200,Mon,12,Bank Holidays including Good Friday
1492473600,Tues,0,First working day of normal week
149256e4,Wed,9,Middle of week - school holiday
1492646400,Thurs,9,Middle of week - school holiday
1492732800,Fri,11,Last day of week - school holiday
1492819200,Sat,5,Saturday
1492905600,Sun,6,Sunday
1492992e3,Mon,0,First working day of normal week
1493078400,Tues,1,Normal working Tuesday
1493164800,Wed,2,Normal working Wednesday
1493251200,Thurs,3,Normal working Thursday
1493337600,Fri,4,Last working day of normal week
1493424e3,Sat,5,Saturday
1493510400,Sun,6,Sunday
1493596800,Mon,12,Bank Holidays including Good Friday
1493683200,Tues,0,First working day of normal week
1493769600,Wed,2,Normal working Wednesday
1493856e3,Thurs,3,Normal working Thursday
1493942400,Fri,4,Last working day of normal week
1494028800,Sat,5,Saturday
1494115200,Sun,6,Sunday
1494201600,Mon,0,First working day of normal week
1494288e3,Tues,1,Normal working Tuesday
1494374400,Wed,2,Normal working Wednesday
1494460800,Thurs,3,Normal working Thursday
1494547200,Fri,4,Last working day of normal week
1494633600,Sat,5,Saturday
149472e4,Sun,6,Sunday
1494806400,Mon,0,First working day of normal week
1494892800,Tues,1,Normal working Tuesday
1494979200,Wed,2,Normal working Wednesday
1495065600,Thurs,3,Normal working Thursday
1495152e3,Fri,4,Last working day of normal week
1495238400,Sat,5,Saturday
1495324800,Sun,6,Sunday
1495411200,Mon,0,First working day of normal week
1495497600,Tues,1,Normal working Tuesday
1495584e3,Wed,2,Normal working Wednesday
1495670400,Thurs,3,Normal working Thursday
1495756800,Fri,4,Last working day of normal week
1495843200,Sat,5,Saturday
1495929600,Sun,6,Sunday
1496016e3,Mon,0,First working day of normal week
1496102400,Tues,1,Normal working Tuesday
1496188800,Wed,2,Normal working Wednesday
1496275200,Thurs,3,Normal working Thursday
1496361600,Fri,4,Last working day of normal week
1496448e3,Sat,5,Saturday
1496534400,Sun,6,Sunday
1496620800,Mon,12,Bank Holidays including Good Friday
1496707200,Tues,0,First working day of normal week
1496793600,Wed,2,Normal working Wednesday
149688e4,Thurs,3,Normal working Thursday
1496966400,Fri,4,Last working day of normal week
1497052800,Sat,5,Saturday
1497139200,Sun,6,Sunday
1497225600,Mon,0,First working day of normal week
1497312e3,Tues,1,Normal working Tuesday
1497398400,Wed,2,Normal working Wednesday
1497484800,Thurs,3,Normal working Thursday
1497571200,Fri,4,Last working day of normal week
1497657600,Sat,5,Saturday
1497744e3,Sun,6,Sunday
1497830400,Mon,0,First working day of normal week
1497916800,Tues,1,Normal working Tuesday
1498003200,Wed,2,Normal working Wednesday
1498089600,Thurs,3,Normal working Thursday
1498176e3,Fri,4,Last working day of normal week
1498262400,Sat,5,Saturday
1498348800,Sun,6,Sunday
1498435200,Mon,0,First working day of normal week
1498521600,Tues,1,Normal working Tuesday
1498608e3,Wed,2,Normal working Wednesday
1498694400,Thurs,3,Normal working Thursday
1498780800,Fri,4,Last working day of normal week
1498867200,Sat,5,Saturday
1498953600,Sun,6,Sunday
149904e4,Mon,7,First day of week - school holiday
1499126400,Tues,9,Middle of week - school holiday
1499212800,Wed,9,Middle of week - school holiday
1499299200,Thurs,9,Middle of week - school holiday
1499385600,Fri,11,Last day of week - school holiday
1499472e3,Sat,5,Saturday
1499558400,Sun,6,Sunday
1499644800,Mon,7,First day of week - school holiday
1499731200,Tues,9,Middle of week - school holiday
1499817600,Wed,9,Middle of week - school holiday
1499904e3,Thurs,9,Middle of week - school holiday
1499990400,Fri,11,Last day of week - school holiday
1500076800,Sat,5,Saturday
1500163200,Sun,6,Sunday
1500249600,Mon,7,First day of week - school holiday
1500336e3,Tues,9,Middle of week - school holiday
1500422400,Wed,9,Middle of week - school holiday
1500508800,Thurs,9,Middle of week - school holiday
1500595200,Fri,11,Last day of week - school holiday
1500681600,Sat,5,Saturday
1500768e3,Sun,6,Sunday
1500854400,Mon,7,First day of week - school holiday
1500940800,Tues,9,Middle of week - school holiday
1501027200,Wed,9,Middle of week - school holiday
1501113600,Thurs,9,Middle of week - school holiday
15012e5,Fri,11,Last day of week - school holiday
1501286400,Sat,5,Saturday
1501372800,Sun,6,Sunday
1501459200,Mon,7,First day of week - school holiday
1501545600,Tues,9,Middle of week - school holiday
1501632e3,Wed,9,Middle of week - school holiday
