date,day,dayType,dtDesc
1397088e3,Thurs,3,Normal working Thursday
1397174400,Fri,4,Last working day of normal week
1397260800,Sat,5,Saturday
1397347200,Sun,6,Sunday
1397433600,Mon,7,First day of week - school holiday
139752e4,Tues,9,Middle of week - school holiday
1397606400,Wed,9,Middle of week - school holiday
1397692800,Thurs,9,Middle of week - school holiday
1397779200,Fri,12,Bank Holidays including Good Friday
1397865600,Sat,5,Saturday
1397952e3,Sun,6,Sunday
1398038400,Mon,12,Bank Holidays including Good Friday
1398124800,Tues,0,First working day of normal week
1398211200,Wed,9,Middle of week - school holiday
1398297600,Thurs,9,Middle of week - school holiday
1398384e3,Fri,11,Last day of week - school holiday
1398470400,Sat,5,Saturday
1398556800,Sun,6,Sunday
1398643200,Mon,0,First working day of normal week
1398729600,Tues,1,Normal working Tuesday
1398816e3,Wed,2,Normal working Wednesday
1398902400,Thurs,3,Normal working Thursday
1398988800,Fri,4,Last working day of normal week
1399075200,Sat,5,Saturday
1399161600,Sun,6,Sunday
1399248e3,Mon,12,Bank Holidays including Good Friday
1399334400,Tues,0,First working day of normal week
1399420800,Wed,2,Normal working Wednesday
1399507200,Thurs,3,Normal working Thursday
1399593600,Fri,4,Last working day of normal week
139968e4,Sat,5,Saturday
1399766400,Sun,6,Sunday
1399852800,Mon,0,First working day of normal week
1399939200,Tues,1,Normal working Tuesday
1400025600,Wed,2,Normal working Wednesday
1400112e3,Thurs,3,Normal working Thursday
1400198400,Fri,4,Last working day of normal week
1400284800,Sat,5,Saturday
1400371200,Sun,6,Sunday
1400457600,Mon,0,First working day of normal week
1400544e3,Tues,1,Normal working Tuesday
1400630400,Wed,2,Normal working Wednesday
1400716800,Thurs,3,Normal working Thursday
1400803200,Fri,4,Last working day of normal week
1400889600,Sat,5,Saturday
1400976e3,Sun,6,Sunday
1401062400,Mon,0,First working day of normal week
1401148800,Tues,1,Normal working Tuesday
1401235200,Wed,2,Normal working Wednesday
1401321600,Thurs,3,Normal working Thursday
1401408e3,Fri,4,Last working day of normal week
1401494400,Sat,5,Saturday
1401580800,Sun,6,Sunday
1401667200,Mon,12,Bank Holidays including Good Friday
1401753600,Tues,0,First working day of normal week
140184e4,Wed,2,Normal working Wednesday
1401926400,Thurs,3,Normal working Thursday
1402012800,Fri,4,Last working day of normal week
1402099200,Sat,5,Saturday
1402185600,Sun,6,Sunday
1402272e3,Mon,0,First working day of normal week
1402358400,Tues,1,Normal working Tuesday
1402444800,Wed,2,Normal working Wednesday
1402531200,Thurs,3,Normal working Thursday
1402617600,Fri,4,Last working day of normal week
1402704e3,Sat,5,Saturday
1402790400,Sun,6,Sunday
1402876800,Mon,0,First working day of normal week
1402963200,Tues,1,Normal working Tuesday
1403049600,Wed,2,Normal working Wednesday
1403136e3,Thurs,3,Normal working Thursday
1403222400,Fri,4,Last working day of normal week
1403308800,Sat,5,Saturday
1403395200,Sun,6,Sunday
1403481600,Mon,0,First working day of normal week
1403568e3,Tues,1,Normal working Tuesday
1403654400,Wed,2,Normal working Wednesday
1403740800,Thurs,3,Normal working Thursday
1403827200,Fri,4,Last working day of normal week
1403913600,Sat,5,Saturday
1404e6,Sun,6,Sunday
1404086400,Mon,0,First working day of normal week
1404172800,Tues,9,Middle of week - school holiday
1404259200,Wed,9,Middle of week - school holiday
1404345600,Thurs,9,Middle of week - school holiday
1404432e3,Fri,11,Last day of week - school holiday
1404518400,Sat,5,Saturday
1404604800,Sun,6,Sunday
1404691200,Mon,7,First day of week - school holiday
1404777600,Tues,9,Middle of week - school holiday
1404864e3,Wed,9,Middle of week - school holiday
1404950400,Thurs,9,Middle of week - school holiday
1405036800,Fri,11,Last day of week - school holiday
1405123200,Sat,5,Saturday
1405209600,Sun,6,Sunday
1405296e3,Mon,7,First day of week - school holiday
1405382400,Tues,9,Middle of week - school holiday
1405468800,Wed,9,Middle of week - school holiday
1405555200,Thurs,9,Middle of week - school holiday
1405641600,Fri,11,Last day of week - school holiday
1405728e3,Sat,5,Saturday
1405814400,Sun,6,Sunday
1405900800,Mon,7,First day of week - school holiday
